tweet_id,retweet_count,favorite_count
666020888022790149,445,2343
666029285002620928,41,118
666033412701032449,39,107
666044226329800704,123,262
666049248165822465,39,94
666050758794694657,51,119
666051853826850816,745,1092
666055525042405380,213,402
666057090499244032,119,263
666058600524156928,51,103
666063827256086533,190,436
666071193221509120,52,133
666073100786774016,141,282
666082916733198337,41,100
666094000022159362,66,153
666099513787052032,57,140
666102155909144576,11,69
666104133288665088,5773,13243
666268910803644416,32,94
666273097616637952,70,157
666287406224695296,57,131
666293911632134144,310,450
666337882303524864,81,176
666345417576210432,128,267
666353288456101888,64,194
666362758909284353,501,696
666373753744588802,78,169
666396247373291520,73,155
666407126856765440,31,98
666411507551481857,285,394
666418789513326592,41,110
666421158376562688,100,291
666428276349472768,73,149
666430724426358785,173,289
666435652385423360,45,148
666437273139982337,42,110
666447344410484738,18,94
666454714377183233,195,473
666644823164719104,73,218
666649482315059201,567,1033
666691418707132416,44,171
666701168228331520,195,395
666739327293083650,60,218
666776908487630848,155,320
666781792255496192,175,356
666786068205871104,439,693
666804364988780544,84,217
666817836334096384,230,473
666826780179869698,83,237
666835007768551424,72,195
666837028449972224,505,750
666983947667116034,894,2362
666996132027977728,81,224
667012601033924608,201,419
667044094246576128,44,174
667062181243039745,47,203
667065535570550784,41,156
667073648344346624,109,372
667090893657276420,115,310
667119796878725120,120,308
667138269671505920,1995,4233
667152164079423490,15412,44236
667160273090932737,55,235
667165590075940865,1028,2490
667171260800061440,77,203
667174963120574464,71,230
667176164155375616,417,567
667177989038297088,50,178
667182792070062081,5622,13243
667188689915760640,363,687
667192066997374976,89,354
667200525029539841,239,572
667211855547486208,220,449
667369227918143488,151,339
667393430834667520,51,178
667405339315146752,206,432
667435689202614272,79,286
667437278097252352,214,419
667443425659232256,531,723
667453023279554560,80,292
667455448082227200,56,178
667470559035432960,89,234
667491009379606528,206,483
667495797102141441,244,486
667502640335572993,200,505
667509364010450944,1961,6330
667517642048163840,177,344
667524857454854144,1034,1579
667530908589760512,219,432
667534815156183040,483,761
667538891197542400,60,191
667544320556335104,487,800
667546741521195010,115,315
667549055577362432,2070,5354
667550882905632768,27,0
667550904950915073,31,0
667724302356258817,291,445
667728196545200128,141,349
667766675769573376,200,407
667773195014021121,48,215
667782464991965184,227,386
667793409583771648,307,649
667801013445750784,87,303
667806454573760512,449,983
667832474953625600,56,271
667861340749471744,74,230
667866724293877760,952,2838
667873844930215936,372,582
667878741721415682,108,371
667885044254572545,430,767
667886921285246976,982,1739
667902449697558528,351,802
667911425562669056,266,452
667915453470232577,51,196
667924896115245057,98,275
667937095915278337,734,1153
668113020489474048,217,623
668142349051129856,258,542
668154635664932864,286,462
668171859951755264,174,453
668190681446379520,185,604
668204964695683073,182,523
668221241640230912,182,482
668226093875376128,93,271
668237644992782336,2608,5758
668248472370458624,436,884
668256321989451776,547,1206
668268907921326080,214,513
668274247790391296,214,767
668286279830867968,126,471
668291999406125056,29,227
668297328638447616,273,583
668466899341221888,468,824
668480044826800133,132,424
668484198282485761,216,391
668496999348633600,119,378
668507509523615744,95,302
668528771708952576,204,434
668537837512433665,65,236
668542336805281792,194,422
668544745690562560,211,477
668567822092664832,49,222
668614819948453888,294,576
668620235289837568,37,184
668623201287675904,688,1318
668625577880875008,119,352
668627278264475648,100,289
668631377374486528,293,660
668633411083464705,1469,2599
668636665813057536,457,965
668641109086707712,496,991
668643542311546881,476,813
668645506898350081,488,812
668655139528511488,201,488
668779399630725120,343,669
668815180734689280,239,517
668826086256599040,124,403
668852170888998912,147,422
668872652652679168,279,493
668892474547511297,136,374
668902994700836864,92,297
668932921458302977,52,242
668955713004314625,65,255
668960084974809088,224,658
668975677807423489,537,1215
668979806671884288,321,739
668981893510119424,276,501
668986018524233728,151,513
668988183816871936,426,843
668989615043424256,305,627
668992363537309700,313,692
668994913074286592,207,410
669000397445533696,5860,19531
669006782128353280,225,541
669015743032369152,346,692
669037058363662336,287,610
669203728096960512,433,936
669214165781868544,149,405
669216679721873412,374,1109
669324657376567296,192,460
669327207240699904,113,536
669328503091937280,384,946
669351434509529089,167,403
669353438988365824,241,585
669354382627049472,1176,2525
669359674819481600,111,347
669363888236994561,210,584
669367896104181761,140,426
669371483794317312,165,460
669375718304980992,670,1238
669393256313184256,68,336
669564461267722241,112,366
669567591774625800,48,220
669571471778410496,937,1486
669573570759163904,128,407
669583744538451968,854,1393
669597912108789760,140,480
669603084620980224,336,892
669625907762618368,1670,3286
669661792646373376,394,756
669680153564442624,266,628
669682095984410625,125,330
669683899023405056,101,355
669749430875258880,61,243
669753178989142016,367,750
669923323644657664,53,219
669926384437997569,89,354
669942763794931712,144,468
669970042633789440,51,284
669972011175813120,141,413
669993076832759809,75,302
670003130994700288,84,310
670037189829525505,254,555
670040295598354432,103,705
670046952931721218,158,605
670055038660800512,298,623
670061506722140161,307,707
670069087419133954,219,581
670073503555706880,726,1458
670079681849372674,1128,2067
670086499208155136,231,657
670093938074779648,306,962
670290420111441920,263,653
670303360680108032,121,409
670319130621435904,1128,3638
670338931251150849,101,401
670361874861563904,60,310
670374371102445568,248,701
670385711116361728,189,526
670403879788544000,141,401
670408998013820928,202,520
670411370698022913,822,1884
670417414769758208,302,536
670420569653809152,290,577
670421925039075328,585,1224
670427002554466305,148,490
670428280563085312,570,1298
670433248821026816,103,312
670434127938719744,598,1329
670435821946826752,476,991
670442337873600512,186,605
670444955656130560,1834,6308
670449342516494336,597,1128
670452855871037440,189,513
670465786746662913,504,912
670468609693655041,82,336
670474236058800128,684,1413
670668383499735048,4601,9973
670676092097810432,37,230
670679630144274432,258,704
670691627984359425,222,552
670704688707301377,344,727
670717338665226240,443,1111
670727704916926465,329,782
670733412878163972,472,899
670755717859713024,98,408
670764103623966721,390,1015
670778058496974848,68,312
670780561024270336,266,742
670782429121134593,709,1432
670783437142401025,352,777
670786190031921152,182,558
670789397210615808,222,616
670792680469889025,255,776
670797304698376195,216,691
670803562457407488,83,320
670804601705242624,883,1833
670807719151067136,453,1083
670811965569282048,247,1056
670815497391357952,1418,2961
670822709593571328,89,564
670823764196741120,172,727
670826280409919488,3748,5143
670832455012716544,198,681
670833812859932673,113,408
670838202509447168,641,1039
670840546554966016,180,546
670842764863651840,8023,23088
670995969505435648,267,1034
671109016219725825,401,1067
671115716440031232,719,1277
671122204919246848,2318,3244
671134062904504320,176,693
671138694582165504,370,861
671141549288370177,605,1081
671147085991960577,200,619
671151324042559489,139,621
671154572044468225,205,663
671159727754231808,74,337
671163268581498880,1018,1536
671166507850801152,313,815
671182547775299584,310,1041
671186162933985280,191,681
671347597085433856,392,885
671355857343524864,112,453
671357843010908160,144,373
671362598324076544,274,1036
671390180817915904,689,1345
671485057807351808,215,715
671486386088865792,182,541
671488513339211776,441,938
671497587707535361,417,864
671504605491109889,3303,6522
671511350426865664,647,1488
671518598289059840,272,886
671520732782923777,490,1307
671528761649688577,239,784
671533943490011136,534,955
671536543010570240,372,1105
671538301157904385,355,873
671542985629241344,521,1021
671544874165002241,962,1833
671547767500775424,544,1261
671561002136281088,6693,11963
671729906628341761,4009,7950
671735591348891648,698,1353
